store,url,title,price,compared price,compared to,buy
mastertools,http://mastertools.nl/products/makita-geleiderail-1500mm,Geleiderail 1500mm - 199141-8,"56,95",35,199141-8,no
mastertools,http://mastertools.nl/products/makita-199826-6-geleiderail-snelspan-klemset,199826-6 Geleiderail Snelspan klemset,"72,95",45,199826-6,no
mastertools,http://mastertools.nl/products/makita-dcl282fzb-accu-steelstofzuiger-18v-zwart-losse-body,DCL282FZB Accu Steelstofzuiger 18V Zwart Basic Body,"74,95",55,DCL282FZB,no
mastertools,http://mastertools.nl/products/makita-ld030p-laser-afstandsmeter,LD030P Laser afstandsmeter 30m,"82,95",55,LD030P,no
mastertools,http://mastertools.nl/products/makita-cp100dzj-12-v-max-mes-losse-body-in-mbox,CP100DZJ Accu Mes 12V Max Basic Body in Mbox,"89,95",45,CP100DZ,no
mastertools,http://mastertools.nl/products/makita-dbo480z-accu-handpalm-vlakschuurmachine-18v-basic-body,DBO480Z Accu Handpalm Vlakschuurmachine 18V Basic Body,"104,95",85,DBO480Z,no
mastertools,http://mastertools.nl/products/makita-dbo180z-excenter-schuurmachine-18v-losse-body,DBO180Z Accu Excenter Schuurmachine 18V Basic Body,"107,95",75,DBO180Z,no
mastertools,http://mastertools.nl/products/makita-dtd153z-accu-slagschroevendraaier-18v-li-ion-losse-body,DTD153Z Accu slagschroevendraaier 170Nm 18V Basic Body,"109,95",85,DTD153Z,no
mastertools,http://mastertools.nl/products/makita-ddf484z-accu-schroefboormachine-18v-losse-body,DDF484Z Accu Schroefboormachine 18V Basic Body,"110,95",85,DDF484Z,no
mastertools,http://mastertools.nl/products/makita-dbo481z-accu-handpalm-vlakschuurmachine-lxt-18v-basic-body,DBO481Z Accu Handpalm Vlakschuurmachine 18V Basic Body,"114,95",75,DBO481Z,no
mastertools,http://mastertools.nl/products/makita-dbo480zj-accu-handpalm-vlakschuurmachine-18v-basic-body-in-mbox,DBO480ZJ Accu Handpalm Vlakschuurmachine 18V Basic Body in Mbox,"129,95",115,DBO480ZJ,no
mastertools,http://mastertools.nl/products/makita-ddf484zj-accuboormachine-ddf484zj,DDF484ZJ Accu Schroefboormachine 18V Basic Body in Mbox,"138,95",95,DDF484ZJ,no
mastertools,http://mastertools.nl/products/makita-dbo180zj-excenter-schuurmachine,DBO180ZJ Accu Excenter Schuurmachine 18V Basic Body in Mbox,"140,95",105,DBO180ZJ,no
mastertools,http://mastertools.nl/products/makita-dga504z-accu-haakse-slijper-18v-basic-body,DGA504Z Accu Haakse Slijper 125mm 18V Basic Body,"143,95",100,DGA504Z,no
mastertools,http://mastertools.nl/products/makita-dga511z-accu-haakse-slijper-18v-basic-body,DGA511Z Accu Haakse Slijper 125mm 18V Basic Body,"158,95",110,DGA511Z,no
mastertools,http://mastertools.nl/products/makita-dga504zj-haakse-slijper,DGA504ZJ Accu Haakse Slijper 125mm 18V Basic Body in Mbox,"166,95",120,DGA504ZJ,no
mastertools,http://mastertools.nl/products/makita-dtd172z-accu-slagschroevendraaier-18v-basic-body,DTD172Z Accu slagschroevendraaier 180Nm 18V Basic Body,"170,95",135,DTD172Z,no
mastertools,http://mastertools.nl/products/makita-dga511zj-18-v-haakse-slijper-125-mm-losse-body-in-mbox,DGA511ZJ Accu Haakse Slijper 125mm 18V Basic Body in Mbox,"189,95",150,DGA511ZJ,no
mastertools,http://mastertools.nl/products/makita-dhp486z-accu-klop-schroefboormachine-18v-basic-body,DHP486Z Accu klop-/schroefboormachine 18V Basic Body,"199,95",160,DHP486Z,no
mastertools,http://mastertools.nl/products/makita-dtd172z-accu-slagschroevendraaier-18v-basic-body-in-mbox,DTD172ZJ Accu slagschroevendraaier 180Nm 18V Basic Body in Mbox,"202,95",165,DTD172ZJ,no
mastertools,http://mastertools.nl/products/makita-dhp486zj-accu-klop-schroefboormachine-18v-basic-body,DHP486ZJ Accu klop-/schroefboormachine 18V Basic Body in Mbox,"218,95",175,DHP486ZJ,no
mastertools,http://mastertools.nl/products/makita-djv181zj-decoupeerzaag,DJV181ZJ Accu Decoupeerzaag T-Greep 18V Basic Body in Mbox,"252,95",180,DJV181ZJ,no
mastertools,http://mastertools.nl/products/makita-ddf484rtj-accuboormachine-schroefboormachine-18-v,DDF484RTJ Accu Schroefboormachine 18V 5.0Ah in Mbox,"293,95",225,DDF484RTJ,no
mastertools,http://mastertools.nl/products/makita-drt50zjx2-accu-boven-en-kantenfrees-18v-basic-body-in-mbox,DRT50ZJX2 Accu Boven- en Kantenfrees 18V Basic Body in Mbox,"297,95",220,DRT50ZJX2,no
mastertools,http://mastertools.nl/products/makita-dtd153rtj-slagschroevendraaier-18v-5-0ah-in-mbox,DTD153RTJ Accu slagschroevendraaier 170Nm 18V 5.0Ah in Mbox,"309,95",250,DTD153RTJ,no
mastertools,http://mastertools.nl/products/makita-dbo180rtj-excenter-schuurmachine,DBO180RTJ Accu Excenter Schuurmachine 18V 5.0Ah in Mbox,"311,95",250,DBO180RTJ,no
mastertools,http://mastertools.nl/products/makita-dhs661zju-accu-cirkelzaag-18v-losse-body-aws-zender-in-mbox,DHS661ZJU Accu Cirkelzaag 165mm AWS 18V Basic Body in Mbox,"317,95",250,DHS661ZJU,no
mastertools,http://mastertools.nl/products/makita-dtm52zjx2-18-v-multitool-zonder-accu-s-en-lader-met-accessoire-set-in-mbox,DTM52ZJX2 Accu Multitool met Accessoires 18V Basic Body in Mbox,"321,95",240,DTM52ZJX2,no
mastertools,http://mastertools.nl/products/makita-drt50zjx9-accu-boven-en-kantenfrees-18v-basic-body-in-mbox,DRT50ZJX9 Accu Boven- en Kantenfrees 18V Basic Body in Mbox,"321,95",240,DRT50ZJX9,no
mastertools,http://mastertools.nl/products/makita-ls1110f-afkortzaag-260mm,LS1110F Radiaal Afkortzaag 260mm 230V,"333,95",240,LS1110F,no
mastertools,http://mastertools.nl/products/makita-dga504rtj-haakse-slijper-in-mbox,DGA504RTJ Accu Haakse Slijper 125mm 18V 5.0Ah in Mbox,"339,95",270,DGA504RTJ,no
mastertools,http://mastertools.nl/products/makita-dtd172rtj-accu-slagschroevendraaier-18v-5-0ah-in-mbox,DTD172RTJ Accu slagschroevendraaier 180Nm 18V 5.0Ah in Mbox,"351,95",280,DTD172RTJ,no
mastertools,http://mastertools.nl/products/makita-dhp486rtj-accu-klop-schroefboormachine-18v-5-0ah-li-ion-in-mbox,DHP486RTJ Accu klop-/schroefboormachine 18V 5.0Ah in Mbox,"386,95",325,DHP486RTJ,no
mastertools,http://mastertools.nl/products/makita-dhs783zju-2x18-v-cirkelzaag-190-mm-losse-body-in-mbox,DHS783ZJU Accu Cirkelzaag 190mm AWS 2x18V Basic Body in Mbox,"409,95",325,DHS783ZJU,no
mastertools,http://mastertools.nl/products/makita-djv181rtj-decoupeerzaag,DJV181RTJ Accu Decoupeerzaag T-Greep 18V 5.0Ah in Mbox,"413,95",320,DJV181RTJ,no
mastertools,http://mastertools.nl/products/makita-dls111zu-accu-radiaal-afkortzaag-2x18v-aws-losse-body,DLS111ZU Accu Radiaal Afkortzaag 260mm AWS 2x18V Basic Body,"786,95",480,DLS111ZU,no
mtools,https://www.mtools.nl/makita-ddf484z-18-v-boor-schroefmachine-losse-body?channable=02d4ec696400333232313168,Makita DDF484Z 18 V Boor-/schroefmachine,"116,46",85,DDF484Z,no
mtools,https://www.mtools.nl/makita-ddf484zj-18-v-boor-schroefmachine?channable=02d4ec69640035393732f3,Makita DDF484ZJ 18 V Boor-/schroefmachine,"131,19",95,DDF484ZJ,no
mtools,https://www.mtools.nl/makita-ddf484rtj-18-v-boor-schroefmachine?channable=02d4ec6964003131373637f1,Makita DDF484RTJ 18 V Boor-/schroefmachine,"367,14",225,DDF484RTJ,no
toolstation,https://www.toolstation.nl/makita-ddf484z-accu-schroefboormachine-body/p27746,Makita DDF484Z accu schroefboormachine (body) 18V Li-ion (27746),"130,92",85,DDF484Z,no
toolstation,https://www.toolstation.nl/makita-ddf484zj-accu-schroefboormachine-body/p66252,Makita DDF484ZJ accu schroefboormachine (body) 18V Li-ion (66252),"149,00",95,DDF484ZJ,no
toolstation,https://www.toolstation.nl/makita-dtd153zj-slagschroevendraaier-body/p72861,Makita DTD153ZJ slagschroevendraaier (body) 18V Li-ion (72861),"159,00",105,DTD153ZJ,no
toolstation,https://www.toolstation.nl/makita-dbo180zj-accu-excentrische-schuurmachine-body/p29041,Makita DBO180ZJ accu excentrische schuurmachine (body) 18V Li-ion (29041),"169,00",105,DBO180ZJ,no
toolstation,https://www.toolstation.nl/makita-dga504z-accu-haakse-slijper-body/p94753,Makita DGA504Z accu haakse slijper (body) 18V Li-ion (94753),"179,00",100,DGA504Z,no
toolstation,https://www.toolstation.nl/makita-dga504zj-accu-haakse-slijper-body/p41142,Makita DGA504ZJ accu haakse slijper (body) 18V Li-ion (41142),"199,00",120,DGA504ZJ,no
toolstation,https://www.toolstation.nl/makita-dhp486z-accu-klopboormachine-body/p24611,Makita DHP486Z accu klopboormachine (body) 18V Li-ion (24611),"228,69",160,DHP486Z,no
toolstation,https://www.toolstation.nl/makita-dtd172zj-accu-slagschroevendraaier-body/p19938,Makita DTD172ZJ accu slagschroevendraaier (body) 18V Li-ion (19938),"249,00",165,DTD172ZJ,no
toolstation,https://www.toolstation.nl/makita-djv181zj-accu-decoupeerzaag-machine-body/p75174,Makita DJV181ZJ accu decoupeerzaag machine (body) 18V Li-ion (75174),"269,00",180,DJV181ZJ,no
toolstation,https://www.toolstation.nl/makita-drt50zjx2-accu-freesmachine-body/p51375,Makita DRT50ZJX2 accu freesmachine (body) 18V Li-ion (51375),"319,00",220,DRT50ZJX2,no
toolstation,https://www.toolstation.nl/makita-ddf484rtj-accu-schroefboormachine/p63284,"Makita DDF484RTJ accu schroefboormachine 18V 5,0Ah Li-ion (63284)","329,00",225,DDF484RTJ,no
toolstation,https://www.toolstation.nl/makita-dtm52zjx2-accu-multitool-body/p34405,Makita DTM52ZJX2 accu multitool (body) 18V Li-ion (34405),"329,00",240,DTM52ZJX2,no
toolstation,https://www.toolstation.nl/makita-drt50zjx9-accu-boven-en-kantenfrees-body/p68113,Makita DRT50ZJX9 accu boven- en kantenfrees (body) 18V Li-ion (68113),"339,00",240,DRT50ZJX9,no
toolstation,https://www.toolstation.nl/makita-dls111zu-accu-radiaal-afkort-verstekzaagmachine-body/p87706,Makita DLS111ZU accu radiaal afkort- & verstekzaagmachine (body) 18V Li-ion (87706),"869,00",480,DLS111ZU,no
hbm-machines,https://www.hbm-machines.com/nl/p/makita-18-volt-boor-schroefmachine-ddf484zj,"Makita Boor-\/schroefmachine body, 18 Volt, DDF484ZJ","129,99",95,DDF484ZJ,no
hbm-machines,https://www.hbm-machines.com/nl/p/makita-18-volt-slagschroevendraaier,"Makita Slagschroevendraaier body, 18 Volt, DTD153Z","129,99",85,DTD153Z,no
hbm-machines,https://www.hbm-machines.com/nl/p/makita-18-volt-slagschroevendraaier-dtd153zj,Makita 18 Volt Slagschroevendraaier body DTD153ZJ,"139,99",105,DTD153ZJ,no
hbm-machines,https://www.hbm-machines.com/nl/p/makita-18-volt-handpalm-excenter-schuurmachine,"Makita Handpalm excenter schuurmachine body, 18 Volt, DBO180ZJ","159,99",105,DBO180ZJ,no
hbm-machines,https://www.hbm-machines.com/nl/p/makita-18-volt-haakse-slijper-125-mm,"Makita Haakse slijper 125 mm body, 18 Volt, DGA504Z","159,99",100,DGA504Z,no
hbm-machines,https://www.hbm-machines.com/nl/p/makita-18-volt-decoupeerzaag-t-model,"Makita Decoupeerzaag T-model body, 18 Volt, DJV181ZJ","239,99",180,DJV181ZJ,no
hbm-machines,https://www.hbm-machines.com/nl/p/makita-18-volt-boven-en-kantenfrees,"Makita Boven- en kantenfrees body, 18 Volt, DRT50ZJX9","299,99",240,DRT50ZJX9,no
hbm-machines,https://www.hbm-machines.com/nl/p/makita-accu-schroefboormachine-18v-50ah-ddf484rtj,"Makita Accu Schroefboormachine 18V 5,0Ah DDF484RTJ","319,99",225,DDF484RTJ,no
hbm-machines,https://www.hbm-machines.com/nl/p/makita-230-volt-radiaal-afkortzaag-260-mm-ls1110f,Makita 230 Volt Radiaal afkortzaag 260 mm LS1110F,"329,99",240,LS1110F,no
installand,https://www.installand.nl/makita-afstandsmeter-ld030p-laser-30-meter,Makita afstandsmeter LD030P laser 30 meter,"95,59",55,LD030P,no
installand,https://www.installand.nl/makita-18v-boor-schroefmachine-ddf484zj-zonder-accu,Makita 18V boor-/schroefmachine DDF484ZJ zonder accu,"168,19",95,DDF484ZJ,no
installand,https://www.installand.nl/makita-18v-haakse-slijper-dga504zj-o-125-mm-zonder-accu,Makita 18V haakse slijper DGA504ZJ Ø 125 mm zonder accu,"228,69",120,DGA504ZJ,no
installand,https://www.installand.nl/makita-18v-slagschroefmachine-dtd172zj-zonder-accu,Makita 18V slagschroefmachine DTD172ZJ zonder accu,"277,09",165,DTD172ZJ,no
installand,https://www.installand.nl/makita-18v-boor-schroefmachine-ddf484rtj-2-x-5-0-ah-li-ion,Makita 18V boor-/schroefmachine DDF484RTJ 2 x 5.0 Ah Li-ion,"470,69",225,DDF484RTJ,no
installand,https://www.installand.nl/makita-stofzuiger-vc3012m-m-klasse-230v,Makita stofzuiger VC3012M M-klasse 230V,"664,29",400,VC3012M,no
visser-assen,https://www.visser-assen.nl/makita-schroefboormachine-ddf484rtj-18v,Schroefboormachine Makita DDF484RTJ 18V,"312,00",225,DDF484RTJ,no
visser-assen,https://www.visser-assen.nl/makita-schroefboormachine-DDF484RTJ-met-schroefbitset,Makita schroefboormachine DDF484RTJ 18V + schroefbitset 31-delig Blackfriday uitvoering,"331,50",225,DDF484RTJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbe05402/makita-bretels,Makita Bretels E-05402,"34,48",15,E-05402,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdcl282fzb/makita-18-v-steelstofzuiger-zwart,Makita 18 V Steelstofzuiger Zwart DCL282FZB,"57,35",55,DCL282FZB,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkb1998266/makita-geleiderail-snelspan-klemset,Makita Geleiderail Snelspan Klemset 199826-6,"61,18",45,199826-6,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbld030p/makita-laser-afstandsmeter-30-meter,Makita Laser afstandsmeter 30 meter LD030P,"74,68",55,LD030P,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkb1991418/makita-geleiderail-1500mm,Makita Geleiderail 1500Mm 199141-8,"79,30",35,199141-8,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbcp100dzj/makita-108-v-mes,Makita 12 V Max Snijmachine CP100DZJ,"80,36",45,CP100DZ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdbo481z/makita-18-v-handpalm-vlakschuurmachine-dbo481z,Makita 18 V Handpalm vlakschuurmachine DBO481Z,"103,04",75,DBO481Z,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdbo480z/makita-18-v-handpalm-vlakschuurmachine-dbo480z,Makita 18 V Handpalm Vlakschuurmachine DBO480Z,"112,49",85,DBO480Z,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbddf484z/makita-18-v-boor-schroefmachine,Makita 18 V Boor-/schroefmachine DDF484Z,"118,17",85,DDF484Z,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbddf484zj/makita-ddf484zj-accu-boor-schroefmachine-18-v,Makita 18 V Boor-/schroefmachine DDF484ZJ,"131,39",95,DDF484ZJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdtd153z/makita-18-v-slagschroevendraaier,Makita 18 V Slagschroevendraaier DTD153Z,"131,39",85,DTD153Z,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdbo180z/makita-18-v-excenter-schuurmachine-zonder-accu-en-lader-in-doos,Makita 18 V Handpalm excenter schuurmachine DBO180Z,"140,86",75,DBO180Z,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdbo180zj/makita-schuurmachine-excentrisch-accu-basic-18-v-dbo180zj,Makita 18 V Handpalm excenter schuurmachine DBO180ZJ,"155,98",105,DBO180ZJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdtd153zj/makita-dtd153zj-18-v-slagschroevendraaier,Makita 18 V Slagschroevendraaier DTD153ZJ,"165,43",105,DTD153ZJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdga504z/makita-18-v-haakse-slijper-125-mm,Makita 18 V Haakse slijper 125 mm DGA504Z,"165,43",100,DGA504Z,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdas180z/18-v-blaas-en-zuigmachine-zonder-accu-en-lader-in-doos,Makita DAS180Z Accu Blaas-/Zuigmachine 18 V - Zonder Accu en Lader,"166,38",115,DAS180Z,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdga504zj/makita-dga504zj-haakse-slijpmachine-125mm,Makita 18 V Haakse slijper 125 mm DGA504ZJ,"178,67",120,DGA504ZJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdga511zj/makita-dga511zj-accu-haakse-slijper-18v-125-mm-in-m-box,Makita 18 V Haakse slijper 125 mm DGA511ZJ,"197,57",150,DGA511ZJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdtd172z/makita-18-v-slagschroevendraaier-dtd172z,Makita 18 V Slagschroevendraaier DTD172Z,"203,24",135,DTD172Z,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdhp486z/makita-18-v-klopboor-schroefmachine-zonder-accu-en-lader-dhp486z,Makita 18 V Klopboor-/schroefmachine DHP486Z,"212,69",160,DHP486Z,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdtd172zj/makita-18-v-slagschroevendraaier-dtd172zj,Makita 18 V Slagschroevendraaier DTD172ZJ,"216,48",165,DTD172ZJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdhp486zj/makita-18-v-klopboor-schroefmachine,Makita 18 V Klopboor-/schroefmachine DHP486ZJ,"225,93",175,DHP486ZJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdjv181zj/makita-decoupeerzaag-djv181zj-18-volt,Makita 18 V Decoupeerzaag T-model DJV181ZJ,"244,83",180,DJV181ZJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdrt50zjx2/makita-18-v-boven-en-kantenfrees,Makita 18 V Boven- en kantenfrees DRT50ZJX2,"288,32",220,DRT50ZJX2,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdtm52zjx2/makita-18-v-multitool-zonder-accus-en-lader-met-accessoire-set-in-mbox,Makita 18 V Multitool DTM52ZJX2,"311,01",240,DTM52ZJX2,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdrt50zjx9/makita-18-v-boven-en-kantenfrees,Makita 18 V Boven- en kantenfrees DRT50ZJX9,"311,01",240,DRT50ZJX9,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbls1110f/makita-ls1110f-230v-radiaal-afkortzaag-260-mm-1450w,Makita 230 V Radiaal Afkortzaag 260 mm LS1110F,"351,90",240,LS1110F,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdtd153rtj/makita-18-v-slagschroevendraaier-dtd153rtj,Makita 18 V Slagschroevendraaier DTD153RTJ,"405,82",250,DTD153RTJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mktvc3012l/makita-230-v-stofzuiger-l-klasse-vc3012l,Makita 230 V Stofzuiger L-Klasse VC3012L,"414,99",320,VC3012L,no
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdhp486rtj/makita-18-v-klopboor-schroefmachine,Makita 18 V Klopboor-/schroefmachine DHP486RTJ,"462,26",325,DHP486RTJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mktvc3012m/makita-230-v-stofzuiger-m-klasse-vc3012m,Makita 230 V Stofzuiger M-Klasse VC3012M,"518,98",400,VC3012M,no
boer-staphorst,https://www.boer-staphorst.nl/dbo480z-18-v-handpalm-vlakschuurmachine-in-doos-0088381760720,Handpalm vlakschuurmachine DBO480Z 18 V,"143,99",85,DBO480Z,no
boer-staphorst,https://www.boer-staphorst.nl/ddf484zj-18-v-boor-schroefmachine-0088381826525,Boor-/schroefmachine DDF484ZJ 18 V (zonder accu en lader),"168,19",95,DDF484ZJ,no
boer-staphorst,https://www.boer-staphorst.nl/dtd153zj-18-v-slagschroevendraaier-0088381824026,Slagschroevendraaier DTD153ZJ 18 V (zonder accu en lader),"187,55",105,DTD153ZJ,no
boer-staphorst,https://www.boer-staphorst.nl/dbo180zj-18-v-excenter-schuurmachine-0088381658638,Excenter schuurmachine DBO180ZJ 18 V (zonder accu en lader),"199,65",105,DBO180ZJ,no
boer-staphorst,https://www.boer-staphorst.nl/dga504z-haakse-slijper-body-0088381683920,Haakse slijper DGA504Z 125 mm 18 V (zonder accu en lader),"211,75",100,DGA504Z,no
boer-staphorst,https://www.boer-staphorst.nl/dga504zj-18-v-haakse-slijper-125-mm-0088381683951,Haakse slijper DGA504ZJ 125 mm 18 V (zonder accu en lader),"228,69",120,DGA504ZJ,no
boer-staphorst,https://www.boer-staphorst.nl/ddf484rtj-18-v-boor-schroefmachine-0088381826433,DDF484RTJ 18 v boor-/schroefmachine,"299,00",225,DDF484RTJ,no
boer-staphorst,https://www.boer-staphorst.nl/djv181zj-18-v-decoupeerzaag-t-model-0088381650946,Decoupeerzaag DJV181ZJ 18 V (zonder accu en lader),"313,39",180,DJV181ZJ,no
boer-staphorst,https://www.boer-staphorst.nl/drt50zjx2-18-v-boven-en-kantenfrees-0088381846127,Boven- en kantenfrees DRT50ZJX2 18 V (zonder accu en lader),"369,05",220,DRT50ZJX2,no
boer-staphorst,https://www.boer-staphorst.nl/radiaal-afkortzaag-260-mm-0088381851268,Radiaal afkortzaag DLS111ZU 260 mm 2x 18 V (zonder accu en lader),"821,83",480,DLS111ZU,no
vankats,https://www.vankats.nl/assortiment/artikel/dcl282fzb/makita-dcl282fzb-steekstofzuiger-zwart.html,MAKITA DCL282FZB STEEKSTOFZUIGER ZWART,"78,65",55,DCL282FZB,no
vankats,https://www.vankats.nl/assortiment/artikel/ddf484zj/makita-ddf484zj-boor-schroefmachine-18v.html,MAKITA DDF484ZJ BOOR-/SCHROEFMACHINE 18V,"168,19",95,DDF484ZJ,no
